"","Name","Party","Rank","VoteCount","VoteShare","Title"
"15","Fred B. Roti","Democratic Party","1 of 1","7,842","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 1, Chicago, IL"
"16","Edward R. Vrdolyak","Republican Party","1 of 3","14,450","76.0%","Election Results for 1979 Primary Election, Alderman, Ward 10, Chicago, IL"
"17","Melvin Simonovich","Democratic Party","2 of 3","2,400","12.6%","Election Results for 1979 Primary Election, Alderman, Ward 10, Chicago, IL"
"18","Marion L. Fisher","Democratic Party","3 of 3","2,151","11.3%","Election Results for 1979 Primary Election, Alderman, Ward 10, Chicago, IL"
"19","Patrick M. Huels","Democratic Party","1 of 1","16,971","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 11, Chicago, IL"
"20","Aloysius A. Majerczyk","Republican Party","1 of 2","9,027","53.8%","Election Results for 1979 Primary Election, Alderman, Ward 12, Chicago, IL"
"21","George A. Kwak","Democratic Party","2 of 2","7,759","46.2%","Election Results for 1979 Primary Election, Alderman, Ward 12, Chicago, IL"
"22","John S. Madrzyk","Democratic Party","1 of 1","16,508","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 13, Chicago, IL"
"23","Edward M. Burke","Democratic Party","1 of 1","11,126","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 14, Chicago, IL"
"24","Frank J. Brady","Democratic Party","1 of 4","8,798","69.0%","Election Results for 1979 Primary Election, Alderman, Ward 15, Chicago, IL"
"25","Walter Jefferson","Democratic Party","2 of 4","1,451","11.4%","Election Results for 1979 Primary Election, Alderman, Ward 15, Chicago, IL"
"26","Frank Collin","Democratic Party","3 of 4","1,262","9.9%","Election Results for 1979 Primary Election, Alderman, Ward 15, Chicago, IL"
"27","Goldine H. Neal","Democratic Party","4 of 4","1,235","9.7%","Election Results for 1979 Primary Election, Alderman, Ward 15, Chicago, IL"
"28","Eloise Barden","Democratic Party","1 of 4","4,342","51.1%","Election Results for 1979 Primary Election, Alderman, Ward 16, Chicago, IL"
"29","Anna R. Langford","Democratic Party","2 of 4","3,048","35.9%","Election Results for 1979 Primary Election, Alderman, Ward 16, Chicago, IL"
"30","Herbert W. Jones","Democratic Party","3 of 4","649","7.6%","Election Results for 1979 Primary Election, Alderman, Ward 16, Chicago, IL"
"31","Esper Mckinley Rush","Democratic Party","4 of 4","450","5.3%","Election Results for 1979 Primary Election, Alderman, Ward 16, Chicago, IL"
"32","Tyrone Mcfolling","Democratic Party","1 of 3","3,806","41.0%","Election Results for 1979 Primary Election, Alderman, Ward 17, Chicago, IL"
"33","William H. Shannon","Democratic Party","2 of 3","3,385","36.5%","Election Results for 1979 Primary Election, Alderman, Ward 17, Chicago, IL"
"34","Ulmer D. Lynch, Jr.","Democratic Party","3 of 3","2,082","22.5%","Election Results for 1979 Primary Election, Alderman, Ward 17, Chicago, IL"
"35","Robert T. Kellam","Democratic Party","1 of 3","9,299","52.6%","Election Results for 1979 Primary Election, Alderman, Ward 18, Chicago, IL"
"36","Jerome P. Craven","Democratic Party","2 of 3","5,372","30.4%","Election Results for 1979 Primary Election, Alderman, Ward 18, Chicago, IL"
"37","John P. Mccann","Democratic Party","3 of 3","3,011","17.0%","Election Results for 1979 Primary Election, Alderman, Ward 18, Chicago, IL"
"38","Michael F. Sheahan","Democratic Party","1 of 3","14,161","62.4%","Election Results for 1979 Primary Election, Alderman, Ward 19, Chicago, IL"
"39","Marilu Bartholomew Meyer","Democratic Party","2 of 3","7,187","31.6%","Election Results for 1979 Primary Election, Alderman, Ward 19, Chicago, IL"
"40","William G. Stanton","Democratic Party","3 of 3","1,361","6.0%","Election Results for 1979 Primary Election, Alderman, Ward 19, Chicago, IL"
"41","William Barnett","Democratic Party","1 of 1","6,266","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 2, Chicago, IL"
"42","Clifford P. Kelley","Democratic Party","1 of 3","3,833","55.9%","Election Results for 1979 Primary Election, Alderman, Ward 20, Chicago, IL"
"43","Ernest Jones","Democratic Party","2 of 3","1,780","26.0%","Election Results for 1979 Primary Election, Alderman, Ward 20, Chicago, IL"
"44","Sidney G. Shelton","Democratic Party","3 of 3","1,239","18.1%","Election Results for 1979 Primary Election, Alderman, Ward 20, Chicago, IL"
"45","Krishna Ray Ligon","Democratic Party","1 of 6","5,199","33.6%","Election Results for 1979 Primary Election, Alderman, Ward 21, Chicago, IL"
"46","Niles Sherman","Democratic Party","2 of 6","4,896","31.6%","Election Results for 1979 Primary Election, Alderman, Ward 21, Chicago, IL"
"47","Charles E. Brown","Democratic Party","3 of 6","1,964","12.7%","Election Results for 1979 Primary Election, Alderman, Ward 21, Chicago, IL"
"48","Leona R. Black","Democratic Party","4 of 6","1,526","9.9%","Election Results for 1979 Primary Election, Alderman, Ward 21, Chicago, IL"
"49","Eugene B. Abington","Democratic Party","5 of 6","1,009","6.5%","Election Results for 1979 Primary Election, Alderman, Ward 21, Chicago, IL"
"50","Arthur Jones","Democratic Party","6 of 6","891","5.8%","Election Results for 1979 Primary Election, Alderman, Ward 21, Chicago, IL"
"51","Frank D. Stemberk","Democratic Party","1 of 1","5,665","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 22, Chicago, IL"
"52","William O. Lipinski","Democratic Party","1 of 1","15,960","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 23, Chicago, IL"
"53","Walter Shumpert","Democratic Party","1 of 3","3,925","52.9%","Election Results for 1979 Primary Election, Alderman, Ward 24, Chicago, IL"
"54","David Rhodes","Democratic Party","2 of 3","2,359","31.8%","Election Results for 1979 Primary Election, Alderman, Ward 24, Chicago, IL"
"55","Chester L. Blair","Democratic Party","3 of 3","1,137","15.3%","Election Results for 1979 Primary Election, Alderman, Ward 24, Chicago, IL"
"56","Vito Marzullo","Democratic Party","1 of 1","6,819","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 25, Chicago, IL"
"57","Michael L. Nardulli","Democratic Party","1 of 1","7,548","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 26, Chicago, IL"
"58","Eugene Ray","Democratic Party","1 of 2","5,637","71.7%","Election Results for 1979 Primary Election, Alderman, Ward 27, Chicago, IL"
"59","Doris Nailor","Democratic Party","2 of 2","2,223","28.3%","Election Results for 1979 Primary Election, Alderman, Ward 27, Chicago, IL"
"60","Jimmy L. Washington","Democratic Party","1 of 3","3,205","53.3%","Election Results for 1979 Primary Election, Alderman, Ward 28, Chicago, IL"
"61","Eddie H. Smith","Democratic Party","2 of 3","2,071","34.5%","Election Results for 1979 Primary Election, Alderman, Ward 28, Chicago, IL"
"62","Kenneth Campbell","Democratic Party","3 of 3","732","12.2%","Election Results for 1979 Primary Election, Alderman, Ward 28, Chicago, IL"
"63","Leroy Cross","Democratic Party","1 of 4","3,234","46.2%","Election Results for 1979 Primary Election, Alderman, Ward 29, Chicago, IL"
"64","Danny K. Davis","Democratic Party","2 of 4","2,527","36.1%","Election Results for 1979 Primary Election, Alderman, Ward 29, Chicago, IL"
"65","Eddie White","Democratic Party","3 of 4","756","10.8%","Election Results for 1979 Primary Election, Alderman, Ward 29, Chicago, IL"
"66","William A. Marshall","Democratic Party","4 of 4","490","7.0%","Election Results for 1979 Primary Election, Alderman, Ward 29, Chicago, IL"
"67","Tyrone T. Kenner","Democratic Party","1 of 2","4,789","52.8%","Election Results for 1979 Primary Election, Alderman, Ward 3, Chicago, IL"
"68","Ralph Metcalfe, Jr.","Democratic Party","2 of 2","4,282","47.2%","Election Results for 1979 Primary Election, Alderman, Ward 3, Chicago, IL"
"69","George A. Hagopian","Democratic Party","1 of 1","9,128","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 30, Chicago, IL"
"70","Chester S. Kuta","Democratic Party","1 of 2","7,632","61.9%","Election Results for 1979 Primary Election, Alderman, Ward 31, Chicago, IL"
"71","Aracelis Figueroa","Democratic Party","2 of 2","4,691","38.1%","Election Results for 1979 Primary Election, Alderman, Ward 31, Chicago, IL"
"72","Theris M. Gabinski","Democratic Party","1 of 1","6,870","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 32, Chicago, IL"
"73","Richard F. Mell","Democratic Party","1 of 1","9,914","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 33, Chicago, IL"
"74","Wilson Frost","Democratic Party","1 of 1","12,409","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 34, Chicago, IL"
"75","John C. Marcin","Democratic Party","1 of 5","6,262","35.0%","Election Results for 1979 Primary Election, Alderman, Ward 35, Chicago, IL"
"76","Casimir Casey Laskowski","Democratic Party","2 of 5","4,001","22.4%","Election Results for 1979 Primary Election, Alderman, Ward 35, Chicago, IL"
"77","Robert A. Bieszczat","Democratic Party","3 of 5","3,966","22.2%","Election Results for 1979 Primary Election, Alderman, Ward 35, Chicago, IL"
"78","John J. Wesolowski","Democratic Party","4 of 5","2,474","13.8%","Election Results for 1979 Primary Election, Alderman, Ward 35, Chicago, IL"
"79","Edward T. Ploski","Democratic Party","5 of 5","1,195","6.7%","Election Results for 1979 Primary Election, Alderman, Ward 35, Chicago, IL"
"80","John F. Aiello","Democratic Party","1 of 1","16,395","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 36, Chicago, IL"
"81","Thomas J. Casey","Democratic Party","1 of 2","6,031","56.6%","Election Results for 1979 Primary Election, Alderman, Ward 37, Chicago, IL"
"82","Thomas J. Meade","Democratic Party","2 of 2","4,626","43.4%","Election Results for 1979 Primary Election, Alderman, Ward 37, Chicago, IL"
"83","Thomas W. Cullerton","Democratic Party","1 of 1","12,395","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 38, Chicago, IL"
"84","Anthony C. Laurino","Democratic Party","1 of 2","11,995","74.0%","Election Results for 1979 Primary Election, Alderman, Ward 39, Chicago, IL"
"85","Lynn J. Becker","Democratic Party","2 of 2","4,216","26.0%","Election Results for 1979 Primary Election, Alderman, Ward 39, Chicago, IL"
"86","Timothy C. Evans","Washington Party","1 of 1","5,555","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 4, Chicago, IL"
"87","Ivan M. Rittenberg","Democratic Party","1 of 2","8,943","55.8%","Election Results for 1979 Primary Election, Alderman, Ward 40, Chicago, IL"
"88","Solomon Gutstein","Democratic Party","2 of 2","7,075","44.2%","Election Results for 1979 Primary Election, Alderman, Ward 40, Chicago, IL"
"89","Roman Pucinksi","Democratic Party","1 of 3","14,982","62.0%","Election Results for 1979 Primary Election, Alderman, Ward 41, Chicago, IL"
"90","T. Ronald Herbert","Democratic Party","2 of 3","4,964","20.5%","Election Results for 1979 Primary Election, Alderman, Ward 41, Chicago, IL"
"91","Bernard J. Weaver, Jr.","Democratic Party","3 of 3","4,219","17.5%","Election Results for 1979 Primary Election, Alderman, Ward 41, Chicago, IL"
"92","Burton F. Natarus","Democratic Party","1 of 1","7,280","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 42, Chicago, IL"
"93","Martin J. Oberman","Democratic Party","1 of 2","13,349","69.9%","Election Results for 1979 Primary Election, Alderman, Ward 43, Chicago, IL"
"94","Ira Robert Strizak","Democratic Party","2 of 2","5,745","30.1%","Election Results for 1979 Primary Election, Alderman, Ward 43, Chicago, IL"
"95","Bruce P. Young","Democratic Party","1 of 4","6,159","40.3%","Election Results for 1979 Primary Election, Alderman, Ward 44, Chicago, IL"
"96","John W. Mccaffrey","Democratic Party","2 of 4","6,141","40.2%","Election Results for 1979 Primary Election, Alderman, Ward 44, Chicago, IL"
"97","James E. Wells","Democratic Party","3 of 4","1,747","11.4%","Election Results for 1979 Primary Election, Alderman, Ward 44, Chicago, IL"
"98","Gayle Guthrie Pucinski","Democratic Party","4 of 4","1,241","8.1%","Election Results for 1979 Primary Election, Alderman, Ward 44, Chicago, IL"
"99","Richard C. Clewis","Democratic Party","1 of 5","9,077","38.0%","Election Results for 1979 Primary Election, Alderman, Ward 45, Chicago, IL"
"100","Michael S. Holewinski","Democratic Party","2 of 5","7,269","30.5%","Election Results for 1979 Primary Election, Alderman, Ward 45, Chicago, IL"
"101","Robert T. Mulcahy","Democratic Party","3 of 5","4,966","20.8%","Election Results for 1979 Primary Election, Alderman, Ward 45, Chicago, IL"
"102","Edward John Stanton","Democratic Party","4 of 5","1,534","6.4%","Election Results for 1979 Primary Election, Alderman, Ward 45, Chicago, IL"
"103","Joseph W. Ippolito","Democratic Party","5 of 5","1,012","4.2%","Election Results for 1979 Primary Election, Alderman, Ward 45, Chicago, IL"
"104","Helen Shiller","Democratic Party","1 of 3","6,904","45.8%","Election Results for 1979 Primary Election, Alderman, Ward 46, Chicago, IL"
"105","Ralph H. Axelrod","Democratic Party","2 of 3","6,099","40.5%","Election Results for 1979 Primary Election, Alderman, Ward 46, Chicago, IL"
"106","Angela P. Turley","Democratic Party","3 of 3","2,070","13.7%","Election Results for 1979 Primary Election, Alderman, Ward 46, Chicago, IL"
"107","Eugene C. Schulter","Democratic Party","1 of 1","12,558","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 47, Chicago, IL"
"108","Marion Kennedy Volini","Democratic Party","1 of 2","8,800","81.8%","Election Results for 1979 Primary Election, Alderman, Ward 48, Chicago, IL"
"109","Robert J. Dolan","Democratic Party","2 of 2","1,955","18.2%","Election Results for 1979 Primary Election, Alderman, Ward 48, Chicago, IL"
"110","David D. Orr","Democratic Party","1 of 2","9,108","52.0%","Election Results for 1979 Primary Election, Alderman, Ward 49, Chicago, IL"
"111","Homer H. Johnson","Democratic Party","2 of 2","8,394","48.0%","Election Results for 1979 Primary Election, Alderman, Ward 49, Chicago, IL"
"112","Lawrence S. Bloom","Democratic Party","1 of 4","5,124","40.2%","Election Results for 1979 Primary Election, Alderman, Ward 5, Chicago, IL"
"113","Ross W. Lathrop","Democratic Party","2 of 4","4,643","36.4%","Election Results for 1979 Primary Election, Alderman, Ward 5, Chicago, IL"
"114","Peter A. Stodder","Democratic Party","3 of 4","1,887","14.8%","Election Results for 1979 Primary Election, Alderman, Ward 5, Chicago, IL"
"115","Joesph Wilbanks","Democratic Party","4 of 4","1,101","8.6%","Election Results for 1979 Primary Election, Alderman, Ward 5, Chicago, IL"
"116","Bernard L. Stone","Democratic Party","1 of 1","9,867","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 50, Chicago, IL"
"117","Eugene Sawyer","Democratic Party","1 of 1","6,857","100.0%","Election Results for 1979 Primary Election, Alderman, Ward 6, Chicago, IL"
"118","Joseph G. Bertrand","Democratic Party","1 of 8","3,517","33.6%","Election Results for 1979 Primary Election, Alderman, Ward 7, Chicago, IL"
"119","Robert S. Wilinski","Democratic Party","2 of 8","3,395","32.4%","Election Results for 1979 Primary Election, Alderman, Ward 7, Chicago, IL"
"120","John A. Johnson","Democratic Party","3 of 8","1,136","10.9%","Election Results for 1979 Primary Election, Alderman, Ward 7, Chicago, IL"
"121","John R. Lumpkin","Democratic Party","4 of 8","854","8.2%","Election Results for 1979 Primary Election, Alderman, Ward 7, Chicago, IL"
"122","Peter Chico, Jr.","Democratic Party","5 of 8","484","4.6%","Election Results for 1979 Primary Election, Alderman, Ward 7, Chicago, IL"
"123","Candelario C. Baiza","Democratic Party","6 of 8","413","3.9%","Election Results for 1979 Primary Election, Alderman, Ward 7, Chicago, IL"
"124","Salahuddin Abdullah Muhammad","Democratic Party","7 of 8","386","3.7%","Election Results for 1979 Primary Election, Alderman, Ward 7, Chicago, IL"
"125","Jessie W. Howard","Democratic Party","8 of 8","280","2.7%","Election Results for 1979 Primary Election, Alderman, Ward 7, Chicago, IL"
"126","Marian Humes","Democratic Party","1 of 3","8,554","66.2%","Election Results for 1979 Primary Election, Alderman, Ward 8, Chicago, IL"
"127","Caleb A. Davis Jr.","Democratic Party","2 of 3","2,708","21.0%","Election Results for 1979 Primary Election, Alderman, Ward 8, Chicago, IL"
"128","Ralph Blakey","Democratic Party","3 of 3","1,651","12.8%","Election Results for 1979 Primary Election, Alderman, Ward 8, Chicago, IL"
"129","Robert Shaw","Democratic Party","1 of 4","5,462","42.5%","Election Results for 1979 Primary Election, Alderman, Ward 9, Chicago, IL"
"130","Alexander A. Adduci","Democratic Party","2 of 4","4,978","38.8%","Election Results for 1979 Primary Election, Alderman, Ward 9, Chicago, IL"
"131","Perry H. Hutchinson","Democratic Party","3 of 4","1,886","14.7%","Election Results for 1979 Primary Election, Alderman, Ward 9, Chicago, IL"
"132","Major R. Coleman","Democratic Party","4 of 4","520","4.0%","Election Results for 1979 Primary Election, Alderman, Ward 9, Chicago, IL"
"133","William Carothers","Democratic Party","1 of 6","5,099","64.8%","Election Results for 1980 Primary Election, Alderman, Ward 28, Chicago, IL"
"134","Jesse L. Butler","Democratic Party","2 of 6","1,068","13.6%","Election Results for 1980 Primary Election, Alderman, Ward 28, Chicago, IL"
"135","Curtis M. Foster","Democratic Party","3 of 6","656","8.3%","Election Results for 1980 Primary Election, Alderman, Ward 28, Chicago, IL"
"136","Brenetta Howell Barrett","Democratic Party","4 of 6","603","7.7%","Election Results for 1980 Primary Election, Alderman, Ward 28, Chicago, IL"
"137","Egbert J. Shirley","Democratic Party","5 of 6","260","3.3%","Election Results for 1980 Primary Election, Alderman, Ward 28, Chicago, IL"
"138","Frank K. Lee","Democratic Party","6 of 6","177","2.3%","Election Results for 1980 Primary Election, Alderman, Ward 28, Chicago, IL"
"139","Louis P. Farina","Democratic Party","1 of 4","11,596","50.2%","Election Results for 1980 Primary Election, Alderman, Ward 36, Chicago, IL"
"140","Richard M. Pope","Democratic Party","2 of 4","5,652","24.5%","Election Results for 1980 Primary Election, Alderman, Ward 36, Chicago, IL"
"141","Edward V. Hanrahan","Democratic Party","3 of 4","5,468","23.7%","Election Results for 1980 Primary Election, Alderman, Ward 36, Chicago, IL"
"142","Frank R. Ranallo","Republican Party","4 of 4","365","1.6%","Election Results for 1980 Primary Election, Alderman, Ward 36, Chicago, IL"
"143","John Merlo","Democratic Party","1 of 5","9,892","80.0%","Election Results for 1981 Primary Election, Alderman, Ward 44, Chicago, IL"
"144","Michael J. Harrington","Democratic Party","2 of 5","2,364","19.1%","Election Results for 1981 Primary Election, Alderman, Ward 44, Chicago, IL"
"145","Michael Taradash","Democratic Party","3 of 5","102","0.8%","Election Results for 1981 Primary Election, Alderman, Ward 44, Chicago, IL"
"146","Michael Holloud","Democratic Party","4 of 5","2","0.0%","Election Results for 1981 Primary Election, Alderman, Ward 44, Chicago, IL"
"147","Sidney Lans","Democratic Party","5 of 5","1","0.0%","Election Results for 1981 Primary Election, Alderman, Ward 44, Chicago, IL"
"148","Allan Streeter","Democratic Party","1 of 2","6,124","55.8%","Election Results for 1982 General Election, Alderman, Ward 17, Chicago, IL"
"149","Jewel C. Frierson","Democratic Party","2 of 2","4,855","44.2%","Election Results for 1982 General Election, Alderman, Ward 17, Chicago, IL"
"150","Allan Streeter","Democratic Party","1 of 8","4,130","46.3%","Election Results for 1982 Primary Election, Alderman, Ward 17, Chicago, IL"
"151","Jewel C. Frierson","Democratic Party","2 of 8","3,703","41.5%","Election Results for 1982 Primary Election, Alderman, Ward 17, Chicago, IL"
"152","Kevin C. Jones","Democratic Party","3 of 8","364","4.1%","Election Results for 1982 Primary Election, Alderman, Ward 17, Chicago, IL"
"153","Ulmer D. Lynch, Jr.","Democratic Party","4 of 8","187","2.1%","Election Results for 1982 Primary Election, Alderman, Ward 17, Chicago, IL"
"154","Michael Davis","Democratic Party","5 of 8","161","1.8%","Election Results for 1982 Primary Election, Alderman, Ward 17, Chicago, IL"
"155","Rosemary Mitchum Lloyd","Democratic Party","6 of 8","154","1.7%","Election Results for 1982 Primary Election, Alderman, Ward 17, Chicago, IL"
"156","Donzell L. Grant, Jr.","Democratic Party","7 of 8","113","1.3%","Election Results for 1982 Primary Election, Alderman, Ward 17, Chicago, IL"
"157","Mel Hopkins","Democratic Party","8 of 8","110","1.2%","Election Results for 1982 Primary Election, Alderman, Ward 17, Chicago, IL"
"158","Aloysius A. Majerczyk","Republican Party","1 of 2","11,742","53.3%","Election Results for 1983 General Election, Alderman, Ward 12, Chicago, IL"
"159","Theodore A. Swinarski","Democratic Party","2 of 2","10,285","46.7%","Election Results for 1983 General Election, Alderman, Ward 12, Chicago, IL"
"160","Frank J. Brady","Democratic Party","1 of 2","8,290","54.5%","Election Results for 1983 General Election, Alderman, Ward 15, Chicago, IL"
"161","Michael P. Hogan","Other Parties","2 of 2","6,927","45.5%","Election Results for 1983 General Election, Alderman, Ward 15, Chicago, IL"
"162","Anna R. Langford","Democratic Party","1 of 2","9,051","51.4%","Election Results for 1983 General Election, Alderman, Ward 16, Chicago, IL"
"163","Eloise Barden","Democratic Party","2 of 2","8,552","48.6%","Election Results for 1983 General Election, Alderman, Ward 16, Chicago, IL"
"164","Bobby Rush","Democratic Party","1 of 2","9,540","53.2%","Election Results for 1983 General Election, Alderman, Ward 2, Chicago, IL"
"165","William Barnett","Democratic Party","2 of 2","8,398","46.8%","Election Results for 1983 General Election, Alderman, Ward 2, Chicago, IL"
"166","Wallace Davis, Jr.","Democratic Party","1 of 2","9,370","57.7%","Election Results for 1983 General Election, Alderman, Ward 27, Chicago, IL"
"167","Mattie Coleman","Other Parties","2 of 2","6,874","42.3%","Election Results for 1983 General Election, Alderman, Ward 27, Chicago, IL"
"168","Ed H. Smith","Democratic Party","1 of 2","10,079","63.8%","Election Results for 1983 General Election, Alderman, Ward 28, Chicago, IL"
"169","William Carothers","Democratic Party","2 of 2","5,709","36.2%","Election Results for 1983 General Election, Alderman, Ward 28, Chicago, IL"
"170","Wilson Frost","Democratic Party","1 of 2","12,905","55.2%","Election Results for 1983 General Election, Alderman, Ward 34, Chicago, IL"
"171","Thomas Savage","Other Parties","2 of 2","10,465","44.8%","Election Results for 1983 General Election, Alderman, Ward 34, Chicago, IL"
"172","Joseph S. Kotlarz, Jr.","Democratic Party","1 of 2","12,443","62.0%","Election Results for 1983 General Election, Alderman, Ward 35, Chicago, IL"
"173","John C. Marcin","Democratic Party","2 of 2","7,626","38.0%","Election Results for 1983 General Election, Alderman, Ward 35, Chicago, IL"
"174","Timothy C. Evans","Washington Party","1 of 2","11,204","56.6%","Election Results for 1983 General Election, Alderman, Ward 4, Chicago, IL"
"175","Toni Reed Preckwinkle","Democratic Party","2 of 2","8,601","43.4%","Election Results for 1983 General Election, Alderman, Ward 4, Chicago, IL"
"176","Patrick J. O'connor","Democratic Party","1 of 2","11,383","55.7%","Election Results for 1983 General Election, Alderman, Ward 40, Chicago, IL"
"177","Ivan M. Rittenberg","Democratic Party","2 of 2","9,052","44.3%","Election Results for 1983 General Election, Alderman, Ward 40, Chicago, IL"
"178","Gerald M. Mclaughlin","Democratic Party","1 of 2","16,893","53.7%","Election Results for 1983 General Election, Alderman, Ward 45, Chicago, IL"
"179","Richard S. Clewis","Other Parties","2 of 2","14,572","46.3%","Election Results for 1983 General Election, Alderman, Ward 45, Chicago, IL"
"180","Jerome M. Orbach","Democratic Party","1 of 2","9,069","50.2%","Election Results for 1983 General Election, Alderman, Ward 46, Chicago, IL"
"181","Charlotte A. Newford","Other Parties","2 of 2","9,004","49.8%","Election Results for 1983 General Election, Alderman, Ward 46, Chicago, IL"
"182","William M.beavers","Democratic Party","1 of 2","8,473","53.8%","Election Results for 1983 General Election, Alderman, Ward 7, Chicago, IL"
"183","Raymond Castro","Democratic Party","2 of 2","7,288","46.2%","Election Results for 1983 General Election, Alderman, Ward 7, Chicago, IL"
"184","Perry H. Hutchinson","Democratic Party","1 of 2","14,047","65.7%","Election Results for 1983 General Election, Alderman, Ward 9, Chicago, IL"
"185","Robert Shaw","Democratic Party","2 of 2","7,332","34.3%","Election Results for 1983 General Election, Alderman, Ward 9, Chicago, IL"
"186","Dorothy J. Tillman","Democratic Party","1 of 9","7,881","80.6%","Election Results for 1985 Primary Election, Alderman, Ward 3, Chicago, IL"
"187","James 'Skip' Burrell","Democratic Party","2 of 9","788","8.1%","Election Results for 1985 Primary Election, Alderman, Ward 3, Chicago, IL"
"188","M. Earle Sardon","Democratic Party","3 of 9","444","4.5%","Election Results for 1985 Primary Election, Alderman, Ward 3, Chicago, IL"
"189","Philander S. Neville, Jr.","Democratic Party","4 of 9","188","1.9%","Election Results for 1985 Primary Election, Alderman, Ward 3, Chicago, IL"
"190","Johnnie B. Gettings","Democratic Party","5 of 9","157","1.6%","Election Results for 1985 Primary Election, Alderman, Ward 3, Chicago, IL"
"191","Jackie Brown","Democratic Party","6 of 9","113","1.2%","Election Results for 1985 Primary Election, Alderman, Ward 3, Chicago, IL"
"192","Ella Evans","Democratic Party","7 of 9","88","0.9%","Election Results for 1985 Primary Election, Alderman, Ward 3, Chicago, IL"
"193","Robert A. Palmer","Democratic Party","8 of 9","69","0.7%","Election Results for 1985 Primary Election, Alderman, Ward 3, Chicago, IL"
"194","Marlene Copeland","Democratic Party","9 of 9","55","0.6%","Election Results for 1985 Primary Election, Alderman, Ward 3, Chicago, IL"
"195","Marlene C. Carter","Democratic Party","1 of 2","10,712","66.3%","Election Results for 1986 General Election, Alderman, Ward 15, Chicago, IL"
"196","Frank J. Brady","Democratic Party","2 of 2","5,446","33.7%","Election Results for 1986 General Election, Alderman, Ward 15, Chicago, IL"
"197","Luis V. Gutierrez","Democratic Party","1 of 2","7,428","53.1%","Election Results for 1986 General Election, Alderman, Ward 26, Chicago, IL"
"198","Manuel A. Torrez","Other Parties","2 of 2","6,549","46.9%","Election Results for 1986 General Election, Alderman, Ward 26, Chicago, IL"
"199","Marlene C. Carter","Democratic Party","1 of 8","4,841","42.9%","Election Results for 1986 Primary Election, Alderman, Ward 15, Chicago, IL"
"200","Frank J. Brady","Democratic Party","2 of 8","4,299","38.1%","Election Results for 1986 Primary Election, Alderman, Ward 15, Chicago, IL"
"201","Connie Crawford","Democratic Party","3 of 8","532","4.7%","Election Results for 1986 Primary Election, Alderman, Ward 15, Chicago, IL"
